2025-11-19T02:32:22.739Z | IP: ::1 | Status: 200 | Time: 150ms
2025-11-19T02:52:31.061Z | IP: 191.91.80.179 | Status: 200 | Time: 876ms | Data: {"num_faces":1,"faces":[{"bbox":[162,392,383,171],"label":"undefined","score":0.9971200227737427}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.446,"faces":0.117,"jerseys":0.046,"time_ocr":0.396}}
2025-11-19T02:52:32.371Z | IP: 191.91.80.179 | Status: 200 | Time: 547ms | Data: {"num_faces":1,"faces":[{"bbox":[163,389,382,170],"label":"undefined","score":0.989202082157135}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.429,"faces":0.111,"jerseys":0.016,"time_ocr":0.379}}
2025-11-19T02:52:34.347Z | IP: 191.91.80.179 | Status: 200 | Time: 530ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.416,"faces":0.091,"jerseys":0.017,"time_ocr":0.366}}
2025-11-19T02:52:36.448Z | IP: 191.91.80.179 | Status: 200 | Time: 522ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.409,"faces":0.089,"jerseys":0.012,"time_ocr":0.361}}
2025-11-19T02:52:38.314Z | IP: 191.91.80.179 | Status: 200 | Time: 510ms | Data: {"num_faces":1,"faces":[{"bbox":[298,569,480,284],"label":"undefined","score":0.9999995231628418}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.393,"faces":0.109,"jerseys":0.047,"time_ocr":0.344}}
2025-11-19T02:52:40.356Z | IP: 191.91.80.179 | Status: 200 | Time: 556ms | Data: {"num_faces":1,"faces":[{"bbox":[265,530,480,285],"label":"undefined","score":0.9999967813491821}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.441,"faces":0.111,"jerseys":0.021,"time_ocr":0.391}}
2025-11-19T02:52:42.477Z | IP: 191.91.80.179 | Status: 200 | Time: 584ms | Data: {"num_faces":1,"faces":[{"bbox":[178,416,394,200],"label":"undefined","score":0.9990365505218506}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.473,"faces":0.111,"jerseys":0.013,"time_ocr":0.424}}
2025-11-19T02:52:44.348Z | IP: 191.91.80.179 | Status: 200 | Time: 544ms | Data: {"num_faces":1,"faces":[{"bbox":[149,466,343,272],"label":"undefined","score":0.9993367791175842}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.43,"faces":0.107,"jerseys":0.049,"time_ocr":0.38}}
2025-11-19T02:52:46.306Z | IP: 191.91.80.179 | Status: 200 | Time: 506ms | Data: {"num_faces":1,"faces":[{"bbox":[159,469,349,279],"label":"undefined","score":0.9994636178016663}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.393,"faces":0.109,"jerseys":0.018,"time_ocr":0.34}}
2025-11-19T02:52:48.449Z | IP: 191.91.80.179 | Status: 200 | Time: 547ms | Data: {"num_faces":1,"faces":[{"bbox":[158,467,354,271],"label":"undefined","score":0.9967599511146545}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.433,"faces":0.106,"jerseys":0.016,"time_ocr":0.383}}
2025-11-19T02:52:50.323Z | IP: 191.91.80.179 | Status: 200 | Time: 516ms | Data: {"num_faces":1,"faces":[{"bbox":[155,440,329,266],"label":"undefined","score":0.9999912977218628}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.404,"faces":0.108,"jerseys":0.017,"time_ocr":0.354}}
2025-11-19T02:52:52.344Z | IP: 191.91.80.179 | Status: 200 | Time: 539ms | Data: {"num_faces":1,"faces":[{"bbox":[181,505,356,330],"label":"undefined","score":0.999951958656311}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.425,"faces":0.102,"jerseys":0.043,"time_ocr":0.375}}
2025-11-19T02:52:54.418Z | IP: 191.91.80.179 | Status: 200 | Time: 518ms | Data: {"num_faces":1,"faces":[{"bbox":[181,513,355,339],"label":"undefined","score":0.9999939203262329}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.406,"faces":0.105,"jerseys":0.048,"time_ocr":0.356}}
2025-11-19T02:52:56.338Z | IP: 191.91.80.179 | Status: 200 | Time: 534ms | Data: {"num_faces":1,"faces":[{"bbox":[149,436,320,265],"label":"undefined","score":0.9999929666519165}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.424,"faces":0.104,"jerseys":0.044,"time_ocr":0.375}}
2025-11-19T02:52:57.605Z | IP: 172.225.173.129 | Status: 200 | Time: 1122ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[331,275,355,343],"confidence":0.07313333333333333}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.419,"faces":0.097,"jerseys":0.049,"time_ocr":0.369}}
2025-11-19T02:52:58.728Z | IP: 191.91.80.179 | Status: 200 | Time: 921ms | Data: {"num_faces":1,"faces":[{"bbox":[148,398,367,179],"label":"undefined","score":0.9997666478157043}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.71,"faces":0.147,"jerseys":0.077,"time_ocr":0.643}}
2025-11-19T02:52:58.981Z | IP: 172.225.173.129 | Status: 200 | Time: 970ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.72,"faces":0.131,"jerseys":0.064,"time_ocr":0.644}}
2025-11-19T02:53:00.758Z | IP: 191.91.80.179 | Status: 200 | Time: 850ms | Data: {"num_faces":1,"faces":[{"bbox":[176,444,422,198],"label":"undefined","score":0.9997417330741882}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.734,"faces":0.133,"jerseys":0.012,"time_ocr":0.684}}
2025-11-19T02:53:00.852Z | IP: 172.225.173.129 | Status: 200 | Time: 932ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[111,177,240,301],"confidence":0.5245}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.734,"faces":0.122,"jerseys":0.012,"time_ocr":0.647}}
2025-11-19T02:53:02.044Z | IP: 191.95.51.210 | Status: 200 | Time: 1639ms | Data: {"num_faces":1,"faces":[{"bbox":[183,291,224,250],"label":"undefined","score":0.9999974966049194}],"jerseys":[],"colombia_count":0,"match_time":"59:23","image_processed":true,"total_detections":1,"processing_times":{"total":0.897,"faces":0.129,"jerseys":0.021,"time_ocr":0.841}}
